cid,start,content,trip,loctype,group
1,6/1/14 7:20,1,1,Residential,1
1,6/1/14 7:22,Hallowed Grounds,1,Transacted,1
1,6/1/14 7:57,Hallowed Grounds,2,Transacted,1
1,6/1/14 8:04,GASTech,2,Office,1
1,6/1/14 12:17,GASTech,3,Office,1
1,6/1/14 12:26,Hippokampos,3,Transacted,1
1,6/1/14 13:25,Hippokampos,4,Transacted,1
1,6/1/14 13:34,GASTech,4,Office,1
1,6/1/14 17:44,GASTech,5,Office,1
1,6/1/14 17:48,1,5,Residential,1
1,6/1/14 19:36,1,6,Residential,1
1,6/1/14 19:42,Albert Clothing,6,Transacted,1
1,6/1/14 20:27,Albert Clothing,8,Transacted,1
1,6/1/14 20:33,1,8,Residential,1
1,6/1/14 22:11,1,9,Residential,1
1,6/1/14 22:15,GASTech,9,Office,1
1,7/1/14 1:10,GASTech,11,Office,1
1,7/1/14 1:14,1,11,Residential,1
1,7/1/14 7:20,1,13,Residential,1
1,7/1/14 7:22,Hallowed Grounds,13,Transacted,1
1,7/1/14 7:56,Hallowed Grounds,14,Transacted,1
1,7/1/14 8:03,GASTech,14,Office,1
1,7/1/14 12:09,GASTech,15,Office,1
1,7/1/14 12:15,Gelatogalore,15,Transacted,1
1,7/1/14 13:43,Gelatogalore,16,Transacted,1
1,7/1/14 13:49,GASTech,16,Office,1
1,7/1/14 17:40,GASTech,17,Office,1
1,7/1/14 17:44,1,17,Residential,1
1,7/1/14 18:51,1,18,Residential,1
1,7/1/14 18:55,Ouzeri Elian,18,Transacted,1
1,7/1/14 20:42,Ouzeri Elian,19,Transacted,1
1,7/1/14 20:46,1,19,Residential,1
1,8/1/14 7:47,1,21,Residential,1
1,8/1/14 7:49,Hallowed Grounds,21,Transacted,1
1,8/1/14 8:00,Hallowed Grounds,22,Transacted,1
1,8/1/14 8:07,GASTech,22,Office,1
1,8/1/14 12:08,GASTech,23,Office,1
1,8/1/14 12:17,Hippokampos,23,Transacted,1
1,8/1/14 13:48,Hippokampos,24,Transacted,1
1,8/1/14 13:57,GASTech,24,Office,1
1,8/1/14 17:51,GASTech,25,Office,1
1,8/1/14 17:55,1,25,Residential,1
1,8/1/14 19:18,1,26,Residential,1
1,8/1/14 19:22,Ouzeri Elian,26,Transacted,1
1,8/1/14 21:22,Ouzeri Elian,27,Transacted,1
1,8/1/14 21:29,GASTech,27,Office,1
1,8/1/14 23:53,GASTech,28,Office,1
1,8/1/14 23:57,1,28,Residential,1
1,9/1/14 7:21,1,30,Residential,1
1,9/1/14 7:23,Hallowed Grounds,30,Transacted,1
1,9/1/14 7:51,Hallowed Grounds,31,Transacted,1
1,9/1/14 7:58,GASTech,31,Office,1
1,9/1/14 12:09,GASTech,32,Office,1
1,9/1/14 12:17,Abila Zacharo,32,Transacted,1
1,9/1/14 13:45,Abila Zacharo,33,Transacted,1
1,9/1/14 13:53,GASTech,33,Office,1
1,9/1/14 17:48,GASTech,34,Office,1
1,9/1/14 17:52,1,34,Residential,1
1,10/1/14 7:50,1,35,Residential,1
1,10/1/14 7:52,Hallowed Grounds,35,Transacted,1
1,10/1/14 8:08,Hallowed Grounds,36,Transacted,1
1,10/1/14 8:15,GASTech,36,Office,1
1,10/1/14 12:21,GASTech,37,Office,1
1,10/1/14 12:23,Ouzeri Elian,37,Transacted,1
1,10/1/14 13:21,Ouzeri Elian,38,Transacted,1
